CODICE,DENOMINAZIONE,INDIRIZZO,COMUNE,COD_ISTAT,LON,LAT,LAT_LON,SR_GEO,QUOTA,OPERATORE,TIPO_IMPIANTO,STATO_IMPIANTO,FASE_RICHIESTA,TECNOLOGIE_UTILIZZATE
MO2077-A,SANT'ANNA,VIA MODENESE 5235,SAN CESARIO SUL PANARO,036036,11.0234951495,44.5965551552,11.0234951495 44.5965551552,4326                            ,41,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS2100
MO6054-A,PISCINE,ROTONDA NIEVO,SASSUOLO,036040,10.773366,44.531931,10.773366 44.531931,4326                            ,125,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2600 - UMTS900 - UMTS2100
MO12,VIGNOLA,"VIA RESISTENZA (DELLA),88",VIGNOLA,036046,11.0064844782,44.4811583205,11.0064844782 44.4811583205,4326                            ,"120,9",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
MO1732-A,ZOCCA,"VIA TESI, 867",ZOCCA,036047,10.993469196,44.347781092,10.993469196 44.347781092,4326                            ,756,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - UMTS2100
PC3675-A,PASSO PENICE,LOC. PASSO DEL PENICE 8,BOBBIO,033005,9.327634,44.7971625,9.327634 44.7971625,4326                            ,1142,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900
PC1477-B,FIORENZUOLA CENTRO,"VIALE CORRIDONI, C/O STADIO COMUNALE",FIORENZUOLA D'ARDA,033021,9.914215,44.932005,9.914215 44.932005,4326                            ,76,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PC74,GRAGNANO TREBBIENSE,"S.P. DELLA LOGGIA C/O CIMITERO,SNC",GRAGNANO TREBBIENSE,033024,9.563374,45.015244,9.563374 45.015244,4326                            ,"78,5",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PC03,MONTICELLI D'ONGINA,"VIA GIOTTO DI BONDONE 8, C/O CENTRALE TELECOM",MONTICELLI D'ONGINA,033027,9.930128,45.086594,9.930128 45.086594,4326                            ,40,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS2100
PC054,OTTONE-ZERBA,"LOC. MONTE ALFEO, C/O TRALICCIO TOWERNET ",OTTONE,033030,9.302381,44.632315,9.302381 44.632315,4326                            ,1207,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - LTE800 - LTE1800 - LTE2100 - UMTS900 - UMTS2100
PC004,ENEL PIAZZA CAVALLI,PIAZZALE MILANO,PIACENZA,033032,9.700053406,45.05685642,9.700053406 45.05685642,4326                            ,55,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - GSM1800 - LTE800 - UMTS900 - UMTS2100
PC82,PC CAMIA,"VIA CAMIA, 10",PIACENZA,033032,9.705096,45.044171,9.705096 45.044171,4326                            ,53,TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,UMTS2100
PC013,BAIA DEL RE,"VIA CARELLA, 1",PIACENZA,033032,9.71271,45.035825,9.71271 45.035825,4326                            ,58,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - GSM1800 - LTE800 - UMTS900 - UMTS2100
PC44,PC ENEL,VIA DIETE DI RONCAGLIA,PIACENZA,033032,9.711129,45.049136,9.711129 45.049136,4326                            ,"52,6",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - LTE2100 - UMTS2100
PC67,PC FULGOSIO,"VIA GIOVANNI DA PORDENONE, 22",PIACENZA,033032,9.6960806523,45.0409749612,9.6960806523 45.0409749612,4326                            ,57,TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,UMTS2100
PC3666-A,STADIO COMUNALE,"VIA E, GORRA (STADIO COMUNALE)",PIACENZA,033032,9.6909928,45.030302,9.6909928 45.030302,4326                            ,62,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - UMTS2100
5800,MANFREDI,VIA MANFREDI 65,PIACENZA,033032,9.683971,45.037506,9.683971 45.037506,4326                            ,"63,5",TRE,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,UMTS2100
PC59,PC XX SETTEMBRE,"VIA XX SETTEMBRE,91",PIACENZA,033032,9.6958369,45.0512143,9.6958369 45.0512143,4326                            ,61,TIM,MICROCELLA,ATTIVO,ATTIVA,LTE2600
PC32,PIANELLO VAL TIDONE,"VIA NOCE DELL'OPPIO, LOCALITA' CA DELL ORA,S.N.C.",PIANELLO VAL TIDONE,033033,9.394815,44.933465,9.394815 44.933465,4326                            ,420,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PC16,PONTE DELL'OLIO,"VIA A. BOGGIANI 6, C/O CENTRALE TELECOM",PONTE DELL'OLIO,033036,9.6397465,44.8666068,9.6397465 44.8666068,4326                            ,213,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PC028,RIVERGARO,VIA CORBELLINI,RIVERGARO,033038,9.597427,44.915466,9.597427 44.915466,4326                            ,137,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - GSM1800 - UMTS2100
PC070,NIVIANO,"STRADA COMUNALE PER LARZANO (C/O DEPURATORE), LOC. NIVIANO",RIVERGARO,033038,9.6313566,44.9457677,9.6313566 44.9457677,4326                            ,119,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - GSM1800 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
PC059,ZIANO PIACENTINO,"LOC. ROSSAGO NUOVO 240, MONTECUCCO",ZIANO PIACENTINO,033048,9.378103,44.988939,9.378103 44.988939,4326                            ,259,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
PR3008-A,,VIA RIZZI 67/B PADIGLIONE 2FIERA DI PARMA,PARMA,034027,10.292464,44.848739,10.292464 44.848739,4326                            ,41,VODAFONE,MICROCELLA,ATTIVO,ATTIVA,GSM900
PR20,BORGO VAL DI TARO,LOC. MONTE CHIARO,BORGO VAL DI TARO,034006,9.7530913,44.4666862,9.7530913 44.4666862,4326                            ,708,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
PR062,BOSSO,LOC. POIANO DI MARZOLARA,CALESTANO,034008,10.1013601,44.6185124,10.1013601 44.6185124,4326                            ,436,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR2629-A,SS513-MONTICELLI TERME,"VIA MARCONI, 63",MONTECHIARUGOLO,034023,10.3841615,44.7304892,10.3841615 44.7304892,4326                            ,92,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PR2688-A,,"VIA LAGO SONSECCO, LOC. SCURANO",NEVIANO DEGLI ARDUINI,034024,10.3244934674,44.5026072438,10.3244934674 44.5026072438,4326                            ,650,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PR020,VIA A. GRAMSCI,VIA BUFFOLARA 24,PARMA,034027,10.3048003,44.8081392,10.3048003 44.8081392,4326                            ,52,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR018,VIA ARGONNE,VIA LA SPEZIA - MOBILIFICIO MAZZONI,PARMA,034027,10.305935,44.789695,10.305935 44.789695,4326                            ,65,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR022,VIA MONTANARA,"VIA MONTANARA, 83 - PARMA",PARMA,034027,10.311792,44.780391,10.311792 44.780391,4326                            ,72,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
PR014,,VIA DELLA VILLETTA C/O DEPOSITO CIMITERO COMUNALE,PARMA,034027,10.3138286,44.7924536,10.3138286 44.7924536,4326                            ,62,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
